# UK Cities Coverage Map - 2.0-mile radius per city
# Generated by cities_best_words_for_center_point.py
# Format: City Name | Country | Center Lat,Lon | Lat Indices Count | Lon Indices Count
#================================================================================

# England (55 cities)
----------------------------------------
Bath | England | 51.3758,-2.3599 | 47 lat | 55 lon
Birmingham | England | 52.4862,-1.8904 | 47 lat | 55 lon
Blackpool | England | 53.8175,-3.0357 | 47 lat | 53 lon
Bradford | England | 53.7960,-1.7594 | 47 lat | 53 lon
Brighton and Hove | England | 50.8225,-0.1372 | 47 lat | 54 lon
Bristol | England | 51.4545,-2.5879 | 46 lat | 53 lon
Cambridge | England | 52.2053,0.1218 | 45 lat | 53 lon
Canterbury | England | 51.2802,1.0789 | 44 lat | 50 lon
Carlisle | England | 54.8951,-2.9441 | 45 lat | 54 lon
Chelmsford | England | 51.7356,0.4685 | 46 lat | 53 lon
Chester | England | 53.1906,-2.8907 | 46 lat | 53 lon
Chichester | England | 50.8365,-0.7792 | 46 lat | 54 lon
Coventry | England | 52.4068,-1.5197 | 46 lat | 55 lon
Derby | England | 52.9225,-1.4746 | 47 lat | 54 lon
Doncaster | England | 53.5228,-1.1285 | 47 lat | 54 lon
Durham | England | 54.7753,-1.5849 | 45 lat | 53 lon
Ely | England | 52.3980,0.2622 | 46 lat | 55 lon
Exeter | England | 50.7184,-3.5339 | 46 lat | 52 lon
Gloucester | England | 51.8642,-2.2381 | 46 lat | 55 lon
Hereford | England | 52.0567,-2.7159 | 46 lat | 52 lon
Hull | England | 53.7457,-0.3367 | 46 lat | 53 lon
Lancaster | England | 54.0466,-2.8007 | 46 lat | 52 lon
Leeds | England | 53.8008,-1.5491 | 47 lat | 53 lon
Leicester | England | 52.6369,-1.1398 | 46 lat | 53 lon
Lichfield | England | 52.6836,-1.8262 | 47 lat | 53 lon
Lincoln | England | 53.2307,-0.5406 | 47 lat | 51 lon
Liverpool | England | 53.4084,-2.9916 | 47 lat | 53 lon
London | England | 51.5074,-0.1278 | 46 lat | 53 lon
Manchester | England | 53.4808,-2.2426 | 47 lat | 53 lon
Middlesbrough | England | 54.5742,-1.2349 | 47 lat | 53 lon
Milton Keynes | England | 52.0406,-0.7594 | 43 lat | 53 lon
Newcastle upon Tyne | England | 54.9783,-1.6178 | 46 lat | 52 lon
Norwich | England | 52.6309,1.2974 | 45 lat | 53 lon
Nottingham | England | 52.9548,-1.1581 | 45 lat | 53 lon
Oxford | England | 51.7520,-1.2577 | 45 lat | 51 lon
Peterborough | England | 52.5695,-0.2405 | 47 lat | 52 lon
Plymouth | England | 50.3755,-4.1427 | 46 lat | 52 lon
Portsmouth | England | 50.8198,-1.0880 | 46 lat | 54 lon
Preston | England | 53.7632,-2.7031 | 46 lat | 52 lon
Reading | England | 51.4543,-0.9781 | 46 lat | 53 lon
Ripon | England | 54.1381,-1.5235 | 47 lat | 52 lon
Salford | England | 53.4875,-2.2901 | 46 lat | 55 lon
Salisbury | England | 51.0693,-1.7944 | 47 lat | 52 lon
Sheffield | England | 53.3811,-1.4701 | 45 lat | 53 lon
Southampton | England | 50.9097,-1.4044 | 45 lat | 52 lon
Southend-on-Sea | England | 51.5460,0.7077 | 46 lat | 53 lon
Stoke-on-Trent | England | 53.0027,-2.1794 | 46 lat | 55 lon
Sunderland | England | 54.9069,-1.3838 | 47 lat | 55 lon
Truro | England | 50.2632,-5.0510 | 45 lat | 55 lon
Wakefield | England | 53.6833,-1.5000 | 47 lat | 52 lon
Wells | England | 51.2090,-2.6469 | 46 lat | 53 lon
Winchester | England | 51.0632,-1.3080 | 46 lat | 53 lon
Wolverhampton | England | 52.5855,-2.1282 | 47 lat | 53 lon
Worcester | England | 52.1929,-2.2206 | 47 lat | 53 lon
York | England | 53.9599,-1.0873 | 46 lat | 54 lon

# Scotland (8 cities)
----------------------------------------
Aberdeen | Scotland | 57.1497,-2.0943 | 45 lat | 51 lon
Dundee | Scotland | 56.4620,-2.9707 | 47 lat | 52 lon
Edinburgh | Scotland | 55.9533,-3.1883 | 45 lat | 53 lon
Elgin | Scotland | 57.6493,-3.3184 | 46 lat | 52 lon
Glasgow | Scotland | 55.8642,-4.2518 | 46 lat | 52 lon
Inverness | Scotland | 57.4778,-4.2247 | 47 lat | 53 lon
Perth | Scotland | 56.3962,-3.4370 | 47 lat | 51 lon
Stirling | Scotland | 56.1165,-3.9369 | 47 lat | 53 lon

# Wales (7 cities)
----------------------------------------
Bangor (Wales) | Wales | 53.2280,-4.1287 | 46 lat | 53 lon
Cardiff | Wales | 51.4816,-3.1791 | 46 lat | 53 lon
Newport | Wales | 51.5882,-2.9977 | 46 lat | 53 lon
St Asaph | Wales | 53.2584,-3.4420 | 46 lat | 52 lon
St Davids | Wales | 51.8812,-5.2660 | 46 lat | 54 lon
Swansea | Wales | 51.6214,-3.9436 | 44 lat | 52 lon
Wrexham | Wales | 53.0478,-2.9916 | 46 lat | 52 lon

# Northern Ireland (6 cities)
----------------------------------------
Armagh | Northern Ireland | 54.3493,-6.6534 | 47 lat | 53 lon
Bangor (Northern Ireland) | Northern Ireland | 54.6541,-5.6695 | 47 lat | 53 lon
Belfast | Northern Ireland | 54.5973,-5.9301 | 47 lat | 52 lon
Derry/Londonderry | Northern Ireland | 54.9966,-7.3086 | 47 lat | 52 lon
Lisburn | Northern Ireland | 54.5162,-6.0365 | 45 lat | 52 lon
Newry | Northern Ireland | 54.1751,-6.3402 | 46 lat | 53 lon

